emp,pe,cape,dy,rho,mov,ir,rr,y02,y10,stp,cf,mg,rv,ed,un,gdp,m2,cpi,dil,yss,nyf,_au,_dxy,_lcp,_ty,_oil,_mkt,_va,_gr,snp,date,label
0.02208628777135369,12.4,13.95,3.75,-0.051,123.0,5.83,-0.76,7.618,8.773,1.1549999999999994,0.1878850102669405,0.08626760563380276,0.1098773091370002,0.1341183118479301,-0.1428571428571428,0.04241226064142811,0.05166744950681079,0.04262585855536272,0.005676447168062815,0.155089,2.631748517,449.25,88.89,2201.4,96.47,18.3,404.71,823.219,462.551,260.3612518310547,1988-04-24,0.0
0.02194094518301704,12.5,14.036,3.75,-0.054,124.2,5.98,-0.76,7.728,8.873,1.1449999999999996,0.1878850102669405,0.08435852372583463,0.1093232939418158,0.1335332684545802,-0.1428571428571428,0.04241226064142811,0.05166744950681079,0.04262585855536272,0.005314778739023085,0.14536,2.631748517,449.0,89.16,2147.8,96.005,18.0,407.55,840.891,461.176,263.47751235961914,1988-05-01,1.0
0.0221041433100424,12.3,13.761,3.82,-0.079,118.4,6.29,-0.76,7.885,8.99,1.1050000000000004,0.1878850102669405,0.08435852372583463,0.1096573378907908,0.1338444428791787,-0.1428571428571428,0.04241226064142811,0.05166744950681079,0.04262585855536272,-0.0001558891790806038,0.146644,2.631748517,443.0,89.3,2200.9,95.446,17.74,401.29,840.891,461.176,263.47751235961914,1988-05-08,0.0
0.0221041433100424,12.2,13.725,3.83,-0.095,118.1,6.18,-0.429,7.868,9.036,1.1679999999999993,0.1669902912621359,0.08435852372583463,0.1096377871422292,0.133831987075929,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.0008748336420069114,0.154289,1.077625013,449.25,89.19,2759.1,95.323,17.49,400.6,840.891,461.176,263.47751235961914,1988-05-15,0.0
0.0221041433100424,12.0,13.532,3.89,-0.098,121.2,6.24,-0.429,8.083,9.242,1.1590000000000007,0.1669902912621359,0.08435852372583463,0.1096072053753621,0.1338126009693053,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.001059797719398903,0.213553,1.077625013,455.5,89.95,2486.7,94.239,17.66,395.3,840.891,461.176,260.5849914550781,1988-05-22,0.0
0.0221041433100424,12.1,13.556,3.89,-0.099,102.4,6.44,-0.429,8.194,9.265,1.0709999999999997,0.1669902912621359,0.08435852372583463,0.1096741623746744,0.1338568276785519,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.0009517061485103673,0.153908,1.077625013,452.5,90.48,2384.7,94.27,17.52,396.37,840.891,461.176,261.48125076293945,1988-05-29,1.0
0.02058144868183076,12.6,14.154,3.71,-0.099,99.4,6.46,-0.429,7.999,8.94,0.9409999999999998,0.1669902912621359,0.0991150442477875,0.1077217065978362,0.1315364339767027,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.001666957482696407,0.213399,1.077625013,464.75,91.3,2709.1,96.263,17.5,415.98,853.699,461.702,261.48125076293945,1988-06-05,0.0
0.02058144868183076,12.8,14.356,3.66,-0.088,99.2,6.45,-0.429,7.965,8.931,0.9659999999999993,0.1669902912621359,0.0991150442477875,0.1077272709802561,0.1315397057184764,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.002265828538744019,0.167696,1.077625013,457.25,90.82,2879.8,96.484,16.73,422.29,853.699,461.702,261.48125076293945,1988-06-12,0.0
0.02058144868183076,12.8,14.351,3.68,-0.082,116.1,6.37,-0.23,8.004,9.002,0.9980000000000011,0.1332027424094027,0.0991150442477875,0.1077089252979098,0.1315288899252589,-0.1290322580645161,0.04484482950062252,0.05903553665393213,0.0449621717010531,-0.002266972649846877,0.185794,1.543953925,450.25,92.05,2433.5,96.203,16.45,422.5,853.699,461.702,272.0824966430664,1988-06-19,1.0
0.02058144868183076,13.0,14.508,3.64,-0.08,117.7,6.51,-0.23,7.97,8.825,0.8549999999999995,0.1332027424094027,0.0991150442477875,0.1076071425417946,0.1314633224106934,-0.1290322580645161,0.04484482950062252,0.05903553665393213,0.0449621717010531,-0.002191389061655391,0.210886,1.543953925,443.75,94.92,2424.9,97.468,16.46,427.48,853.699,461.702,270.5450019836426,1988-06-26,0.0
0.0232043855154318,12.1,14.361,3.66,-0.078,117.1,6.55,-0.23,7.982,8.767,0.7849999999999993,0.1332027424094027,0.1176470588235292,0.1103068353884999,0.1395966682352578,-0.1290322580645161,0.04484482950062252,0.05903553665393213,0.0449621717010531,-0.001373064223596843,0.240218,1.543953925,437.0,95.89,2296.7,97.989,14.94,425.35,898.704,480.049,271.7750053405762,1988-07-03,1.0
0.02334023064329194,12.0,14.287,3.68,-0.078,120.6,6.66,-0.23,8.241,9.036,0.7949999999999999,0.1332027424094027,0.1176470588235292,0.1110509251179799,0.1396908205345428,-0.1290322580645161,0.04484482950062252,0.05903553665393213,0.0449621717010531,0.0007022218811871817,0.189043,1.543953925,438.75,96.36,2270.4,96.482,15.46,423.56,898.704,480.049,271.7750053405762,1988-07-10,0.0
0.02334023064329194,12.1,14.379,3.66,-0.072,121.0,6.72,0.18,8.279,9.056,0.7769999999999992,0.07277882797731583,0.1176470588235292,0.1110128323214128,0.1396660452277092,-0.1147540983606556,0.04484482950062252,0.06052536883771142,0.04480990869630297,0.0007045438427404349,0.154833,1.473786002,438.25,98.13,2175.4,96.526,14.76,426.69,898.704,480.049,270.68124771118164,1988-07-17,0.0
0.02334023064329194,11.8,13.943,3.78,-0.067,121.6,6.74,0.18,8.315,9.105,0.7900000000000009,0.07277882797731583,0.1176470588235292,0.1105932479314604,0.1397079035477868,-0.1147540983606556,0.04484482950062252,0.06052536883771142,0.04480990869630297,-0.0001219730358275051,0.211566,1.473786002,442.75,95.28,2200.3,96.388,16.38,414.16,898.704,480.049,274.15749740600586,1988-07-24,1.0
0.0229272989797733,12.1,14.35,3.67,-0.075,122.0,6.95,0.18,8.389,9.115,0.7260000000000009,0.07277882797731583,0.1176470588235292,0.1101350654877398,0.1397592424726253,-0.1147540983606556,0.04484482950062252,0.06052536883771142,0.04480990869630297,0.0001580254258262137,0.196631,1.473786002,435.75,97.53,2123.3,96.494,16.2,426.66,898.97,476.915,265.8375015258789,1988-07-31,0.0
0.02260005807452403,12.1,14.265,3.7,-0.07,122.1,6.92,0.18,8.465,9.11,0.6449999999999996,0.07277882797731583,0.1176470588235292,0.1106984328009368,0.1398586589269588,-0.1147540983606556,0.04484482950062252,0.06052536883771142,0.04480990869630297,-0.001342046370897632,0.105802,1.473786002,432.5,98.22,2128.4,96.686,15.25,426.34,898.97,476.915,265.8375015258789,1988-08-07,0.0
0.02260005807452403,11.7,13.837,3.82,-0.059,125.6,7.01,0.18,8.655,9.375,0.7200000000000006,0.02529358626919609,0.1176470588235292,0.1106694720006094,0.1398364815336905,-0.09999999999999998,0.03586222080209489,0.05702603830428243,0.04128363385481748,-0.001381359890141765,0.210557,1.473786002,431.75,97.93,2167.9,95.27,15.76,413.96,898.97,476.915,265.8375015258789,1988-08-14,0.0
