emp,pe,cape,dy,rho,mov,ir,rr,y02,y10,stp,cf,mg,rv,ed,un,gdp,m2,cpi,dil,yss,nyf,_au,_dxy,_lcp,_ty,_oil,_mkt,_va,_gr,snp,label
0.02208628777135369,12.9,14.469,3.6,-0.083,118.0,6.02,-1.061,7.459,8.484,1.0250000000000004,0.176409185803758,0.08626760563380276,0.1099071772560809,0.1341381098377041,-0.1363636363636362,0.04241226064142811,0.04975124378109452,0.04373576309795002,0.005759732865755263,0.248874,6.896895065,450.5,89.14,2473.7,97.99,16.88,419.06,823.219,462.551,269.6524963378906,1.0
0.02208628777135369,12.4,13.96,3.75,-0.078,121.0,5.88,-0.76,7.582,8.737,1.1550000000000002,0.1878850102669405,0.08626760563380276,0.109937994126418,0.1341569937536893,-0.1428571428571428,0.04241226064142811,0.05166744950681079,0.04262585855536272,0.005774828268715781,0.326712,2.631748517,456.25,88.31,2328.2,96.534,18.37,404.66,823.219,462.551,274.87874603271484,1.0
0.02208628777135369,12.4,13.95,3.75,-0.051,123.0,5.83,-0.76,7.618,8.773,1.1549999999999994,0.1878850102669405,0.08626760563380276,0.1098773091370002,0.1341183118479301,-0.1428571428571428,0.04241226064142811,0.05166744950681079,0.04262585855536272,0.005676447168062815,0.155089,2.631748517,449.25,88.89,2201.4,96.47,18.3,404.71,823.219,462.551,260.3612518310547,0.0
0.02194094518301704,12.5,14.036,3.75,-0.054,124.2,5.98,-0.76,7.728,8.873,1.1449999999999996,0.1878850102669405,0.08435852372583463,0.1093232939418158,0.1335332684545802,-0.1428571428571428,0.04241226064142811,0.05166744950681079,0.04262585855536272,0.005314778739023085,0.14536,2.631748517,449.0,89.16,2147.8,96.005,18.0,407.55,840.891,461.176,263.47751235961914,1.0
0.0221041433100424,12.3,13.761,3.82,-0.079,118.4,6.29,-0.76,7.885,8.99,1.1050000000000004,0.1878850102669405,0.08435852372583463,0.1096573378907908,0.1338444428791787,-0.1428571428571428,0.04241226064142811,0.05166744950681079,0.04262585855536272,-0.0001558891790806038,0.146644,2.631748517,443.0,89.3,2200.9,95.446,17.74,401.29,840.891,461.176,263.47751235961914,0.0
0.0221041433100424,12.2,13.725,3.83,-0.095,118.1,6.18,-0.429,7.868,9.036,1.1679999999999993,0.1669902912621359,0.08435852372583463,0.1096377871422292,0.133831987075929,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.0008748336420069114,0.154289,1.077625013,449.25,89.19,2759.1,95.323,17.49,400.6,840.891,461.176,263.47751235961914,0.0
0.0221041433100424,12.0,13.532,3.89,-0.098,121.2,6.24,-0.429,8.083,9.242,1.1590000000000007,0.1669902912621359,0.08435852372583463,0.1096072053753621,0.1338126009693053,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.001059797719398903,0.213553,1.077625013,455.5,89.95,2486.7,94.239,17.66,395.3,840.891,461.176,260.5849914550781,0.0
0.0221041433100424,12.1,13.556,3.89,-0.099,102.4,6.44,-0.429,8.194,9.265,1.0709999999999997,0.1669902912621359,0.08435852372583463,0.1096741623746744,0.1338568276785519,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.0009517061485103673,0.153908,1.077625013,452.5,90.48,2384.7,94.27,17.52,396.37,840.891,461.176,261.48125076293945,1.0
0.02058144868183076,12.6,14.154,3.71,-0.099,99.4,6.46,-0.429,7.999,8.94,0.9409999999999998,0.1669902912621359,0.0991150442477875,0.1077217065978362,0.1315364339767027,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.001666957482696407,0.213399,1.077625013,464.75,91.3,2709.1,96.263,17.5,415.98,853.699,461.702,261.48125076293945,0.0
0.02058144868183076,12.8,14.356,3.66,-0.088,99.2,6.45,-0.429,7.965,8.931,0.9659999999999993,0.1669902912621359,0.0991150442477875,0.1077272709802561,0.1315397057184764,-0.1111111111111112,0.04484482950062252,0.0552129539471311,0.04248077176222798,-0.002265828538744019,0.167696,1.077625013,457.25,90.82,2879.8,96.484,16.73,422.29,853.699,461.702,261.48125076293945,0.0
